Pitcher,PitcherThrows,PitcherId,AutoPitchType,mean_velo,mean_vmov,mean_hmov,mean_spin,mean_vaa,mean_ext
"Holt, Campbell",Left,1000050029,Sinker,88.13770306818182,6.501307727272727,12.14722590909091,2145.8913416704545,-5.334965488636364,4.873169545454545
"Holt, Campbell",Left,1000050029,Slider,81.08863272727272,-3.515868181818182,13.870381818181817,2256.4132941818184,-7.225219,4.7633636363636365
"Yates, Rian",Right,1000050404,Changeup,85.48360384615384,11.80348,14.391865934065933,1968.735039912088,-6.509540703296703,6.002330659340659
"Yates, Rian",Right,1000050404,Curveball,77.72485571428571,-0.14505857142857145,5.3084742857142855,2291.9655038571427,-8.710112857142857,5.1813771428571425
"Yates, Rian",Right,1000050404,Cutter,88.59745,11.51221,1.74449,2163.177486,-5.181133,6.23643
"Yates, Rian",Right,1000050404,Four-Seam,87.1908232,17.066903,8.1267622,2110.57336358,-5.4027904,5.9956482
"Yates, Rian",Right,1000050404,Sinker,87.30752545454546,11.718600606060606,13.554961212121212,2033.8645347272727,-6.558043909090909,6.013544242424242
"Yates, Rian",Right,1000050404,Slider,80.57152696517413,2.8409466666666665,4.647480199004975,2300.235410024876,-8.043917472636815,5.327822686567164
"Washington, Solomon",Right,1000050846,Changeup,85.522875,12.863610000000001,11.658864999999999,1612.700761,-5.920991000000001,6.190645
"Washington, Solomon",Right,1000050846,Cutter,86.86764,9.39914,0.10764,2253.261279,-7.018089,5.81581
"Washington, Solomon",Right,1000050846,Four-Seam,93.6691220610687,19.63279628498728,8.217376386768448,2243.1864779669213,-4.622150218829517,5.83896737913486
"Washington, Solomon",Right,1000050846,Sinker,94.4724923076923,15.743957692307692,16.284506153846152,2246.313041230769,-5.203336461538462,5.906222307692308
"Washington, Solomon",Right,1000050846,Slider,84.91847830985915,3.970827605633803,6.005331971830986,2312.169731521127,-7.286544577464789,5.6297333802816905
"Robinson, Dalton",Left,1000051212,Changeup,81.40993615384616,14.561626538461539,9.638622307692307,1760.2529156538462,-6.1828785,6.437126538461539
"Robinson, Dalton",Left,1000051212,Curveball,67.52991416666667,-1.3896225,14.078446666666666,2090.5797261666667,-9.239343166666666,5.9579208333333336
"Robinson, Dalton",Left,1000051212,Four-Seam,86.159792,17.88834,7.462688,2026.8848864,-5.2728152,6.336452
"Robinson, Dalton",Left,1000051212,Sinker,87.161435,14.650755,14.7242,2035.065482,-4.689703,5.84438
"Martinez, Hamilton",Right,1000051418,Changeup,82.84808847457627,13.74289872881356,11.876315084745762,1664.1124012372882,-6.831579372881356,6.1239210169491525
"Martinez, Hamilton",Right,1000051418,Curveball,75.55794833333333,4.88601125,11.203879583333334,2101.1097043333334,-8.9850335,5.792067916666666
"Martinez, Hamilton",Right,1000051418,Four-Seam,86.0818511111111,19.160239333333333,7.692574,1969.8141542888889,-5.946130355555556,6.264286
"Martinez, Hamilton",Right,1000051418,Sinker,86.024685,18.170225,16.132550000000002,1980.7201805,-7.5879155,6.329470000000001
"Martinez, Hamilton",Right,1000051418,Slider,77.6845625,7.9801225,10.674955,2174.4408734999997,-8.29656825,5.7258625
"Ecklar, Devin",Right,1000051713,Changeup,83.4914508974359,9.812119743589744,13.906635512820513,1976.5385413461538,-6.233881320512821,5.991702948717949
"Ecklar, Devin",Right,1000051713,Curveball,77.54529,-1.8593333333333333,6.557334285714286,2434.3328868095236,-7.851569190476191,5.148087142857142
"Ecklar, Devin",Right,1000051713,Four-Seam,87.05763827586208,16.86377344827586,11.577641034482758,2168.5970698965516,-4.988689517241379,5.823803103448276
"Ecklar, Devin",Right,1000051713,Sinker,87.42022032258065,12.99354935483871,14.701241290322582,2175.8489556774193,-5.5206311290322585,5.91672935483871
"Ecklar, Devin",Right,1000051713,Slider,78.01264392857144,0.8265025,10.367405,2475.8870049642856,-7.573377428571429,5.130589642857143
"Thom, Steven",Left,1000051722,Changeup,81.31234345864662,6.8375705263157895,20.187046466165413,2160.100949518797,-5.499389428571429,5.3449866165413535
"Thom, Steven",Left,1000051722,Curveball,72.972,-1.17781,10.609108333333333,2030.5683490000001,-6.057519166666667,4.975498333333333
"Ursitti, Anthony",Right,1000052078,Changeup,85.99409769230769,9.139104615384616,16.18086076923077,1710.5883166153847,-6.276660692307693,5.846331538461539
"Ursitti, Anthony",Right,1000052078,Curveball,76.829818,-7.734637333333334,13.203479333333334,2163.105938,-9.3817808,5.247171333333333
"Ursitti, Anthony",Right,1000052078,Four-Seam,93.52816666666666,15.929560476190476,11.699574285714286,2050.8252574,-5.396282714285714,5.952964761904762
"Ursitti, Anthony",Right,1000052078,Sinker,93.0159334375,12.7002615625,14.90777078125,2030.901493640625,-5.708285390625,5.90845875
"Ursitti, Anthony",Right,1000052078,Slider,81.41673333333334,1.0677633333333334,11.542918333333333,2359.5270576666667,-9.148884666666667,5.073746666666667
"Miller-Green, Lyle",Right,1000052295,Changeup,84.40664,8.793283333333333,13.139809999999999,2101.4790693333334,-6.810914,6.86613
"Miller-Green, Lyle",Right,1000052295,Curveball,81.16061849315068,-8.861029589041095,6.783110136986301,2353.227717342466,-9.05221702739726,5.931759863013698
"Miller-Green, Lyle",Right,1000052295,Four-Seam,90.96996298245614,16.612788070175437,12.482099298245615,2357.142230245614,-5.067218280701755,6.44128701754386
"Miller-Green, Lyle",Right,1000052295,Sinker,90.80718696721311,11.539382704918033,16.780628975409837,2371.542178045082,-5.884997409836066,6.518675942622951
"Miller-Green, Lyle",Right,1000052295,Slider,84.88351859649123,1.5594769005847953,2.084283274853801,2572.994343871345,-7.659662602339181,5.992952631578947
"Needles, Justin",Right,1000052691,Changeup,82.418075,10.314416578947368,13.341251578947368,1768.6177928421052,-5.883135763157894,6.713612894736842
"Needles, Justin",Right,1000052691,Curveball,79.504585,-6.400742,10.9419545,2345.950635225,-8.271269625,6.16899775
"Needles, Justin",Right,1000052691,Four-Seam,88.71735378378378,15.111152567567567,9.257975675675675,2211.1246212567567,-4.640984189189189,6.742822837837838
"Needles, Justin",Right,1000052691,Sinker,89.12087836065574,12.517710983606557,12.835953934426229,2155.6163392459016,-5.249383131147541,6.706503278688524
"Needles, Justin",Right,1000052691,Slider,81.43585777777778,0.5329833333333333,7.843032222222222,2225.055023777778,-7.217786555555556,6.313332222222222
"Paret, Daniel",Left,1000058747,Changeup,84.6484488,9.07718,15.9662948,2013.36630328,-7.7202694,6.13946
"Paret, Daniel",Left,1000058747,Curveball,75.8753484883721,-10.95805511627907,11.820784767441861,2673.332469639535,-10.123291046511628,5.706188488372093
"Paret, Daniel",Left,1000058747,Cutter,84.567085,12.812605,1.9124325,2364.983122,-6.206214375,5.9062149999999995
"Paret, Daniel",Left,1000058747,Four-Seam,90.54474252380952,17.45428311904762,10.639114547619048,2246.6108406770336,-5.248005676190476,6.224444642857143
"Paret, Daniel",Left,1000058747,Sinker,90.38223921875,14.52132296875,15.384542135416666,2156.9318913125,-5.895241364583334,6.199434635416667
"Paret, Daniel",Left,1000058747,Slider,82.51382023809524,5.0664058333333335,5.821023571428571,2438.7186584761903,-7.847140559523809,5.683269761904762
"Garcia, Danny",Right,1000058765,Changeup,82.17624285714285,11.019794642857143,17.064810357142857,2000.0622286785715,-6.067925285714286,5.507960357142857
"Garcia, Danny",Right,1000058765,Curveball,70.82007888888889,-3.238086666666667,8.39492962962963,2150.255361111111,-9.093297518518519,5.171771851851852
"Garcia, Danny",Right,1000058765,Four-Seam,86.01669,19.17194423076923,14.365958461538462,2092.4320214615386,-4.425492,5.529332307692307
"Garcia, Danny",Right,1000058765,Sinker,87.32606166666666,15.8777675,16.16976208333333,2089.128933708333,-5.016420958333334,5.556393333333333
"Garcia, Danny",Right,1000058765,Slider,78.75809944444444,7.017628333333334,3.791027777777778,2002.1645347222222,-6.8082545,5.375324444444445
"Rodriguez, Joseph",Right,1000059232,Changeup,84.4087962037037,1.8960281481481482,19.223945740740742,1996.8333716203704,-5.849068,5.700130092592593
"Rodriguez, Joseph",Right,1000059232,Curveball,76.87950735632184,-2.082307931034483,6.496403563218391,2139.647193804598,-6.663228862068966,5.384121609195402
"Rodriguez, Joseph",Right,1000059232,Four-Seam,81.29219,6.11185,7.25603,1975.184279,-6.619767,5.49595
"Rodriguez, Joseph",Right,1000059232,Sinker,87.6326179032258,1.0160374193548387,20.662418387096775,2135.6743321451613,-5.726536612903225,5.74006
